# Radius Mass Compactness
2.844807682988042075e+02	9.533448937306172877e-02	4.948429275775051515e-04
1.091998949982251048e+02	9.658708175346267244e-02	1.306071819276207651e-03
6.372173695274065608e+01	1.010905959505239010e-01	2.342574364593725481e-03
4.419756306257005463e+01	1.075426205124220547e-01	3.592961186411123067e-03
3.378280767669092910e+01	1.156733053696365615e-01	5.056006690709996185e-03
2.750173006988797653e+01	1.254190739721558201e-01	6.734010818040263475e-03
2.340196528260404918e+01	1.367939223367077572e-01	8.631468833105934713e-03
2.057490679962501190e+01	1.498525441092662114e-01	1.075465489598334372e-02
1.854604315634302125e+01	1.646759377618377262e-01	1.311140142722443461e-02
1.704592703948198107e+01	1.813642879450912959e-01	1.571091159801593987e-02
1.591144887088070980e+01	2.000325857280912389e-01	1.856355958408232795e-02
1.503872235659230405e+01	2.208073351968588560e-01	2.168067453886686827e-02
1.435876639496487783e+01	2.438236336207333654e-01	2.507430499693708362e-02
1.382414217686003077e+01	2.692222751360308641e-01	2.875696397420422074e-02
1.340122450102080442e+01	2.971466568924576723e-01	3.274135139267229239e-02
1.306553636811833385e+01	3.277393640443930223e-01	3.704005292409358330e-02
1.279882898500399513e+01	3.611383233521002767e-01	4.166521011572065641e-02
1.258719578213253421e+01	3.974725078940962719e-01	4.662816695112560750e-02
1.241982231892805544e+01	4.368570707763421712e-01	5.193907629234485041e-02
1.228813612018064205e+01	4.793881555484587054e-01	5.760650416794034501e-02
1.218521927852814457e+01	5.251370417928342693e-01	6.363697680431601444e-02
1.210539301573986215e+01	5.741442169317161337e-01	7.003454893860822095e-02
1.204391816441061280e+01	6.263982631716689120e-01	7.679854356307770635e-02
1.199671469581662109e+01	6.818221933096819676e-01	8.392262078334178366e-02
1.196028299483196200e+01	7.403243952527051031e-01	9.140097739089864115e-02
1.193162513757998511e+01	8.017614373136076056e-01	9.922378703268654176e-02
1.190813905057660804e+01	8.659318252854485420e-01	1.073766966655004956e-01
1.188754773618327221e+01	9.325731153881635649e-01	1.158406144257052850e-01
1.186785003891003321e+01	1.001360633819526669e+00	1.245915816726782394e-01
1.184728612127626057e+01	1.071908215545967158e+00	1.336007688510356117e-01
1.182431378236615238e+01	1.143771067782796580e+00	1.428345910201027080e-01
1.179759213857465561e+01	1.216451277356475513e+00	1.522550043283057153e-01
1.176597106902207912e+01	1.289405186690662619e+00	1.618198788526190313e-01
1.172848358830180970e+01	1.362053771507525601e+00	1.714836124249499993e-01
1.168434069054239721e+01	1.433794551415404017e+00	1.811978119774545481e-01
1.163292687261674807e+01	1.504015311478193118e+00	1.909121174734463577e-01
1.157379710774503678e+01	1.572105658060568789e+00	2.005746767683378451e-01
1.150657016646733943e+01	1.637124727066185947e+00	2.100903540897065269e-01
1.143069874892746540e+01	1.698294894012289058e+00	2.193868334067853032e-01
1.134605270856511794e+01	1.755184758570212722e+00	2.284274424305941520e-01
1.125279165620044530e+01	1.807440193918754545e+00	2.371777216598429661e-01
1.115126460300749578e+01	1.854778815834751793e+00	2.456055864807813460e-01
1.104196119838078971e+01	1.896991263091756252e+00	2.536818224608244354e-01
1.092547935321294794e+01	1.933942302218689679e+00	2.613805379557025410e-01
1.080250024629781613e+01	1.965570320401954785e+00	2.686795027894948729e-01
1.067376728176048495e+01	1.991884841324945254e+00	2.755603526374914014e-01
1.054006811416118339e+01	2.012962266208641715e+00	2.820086642468658256e-01
1.040221861971929407e+01	2.028939978970230040e+00	2.880139065096971596e-01
1.026104882772852633e+01	2.040009294514478988e+00	2.935692929984169419e-01
1.011739069167770744e+01	2.046407608582820892e+00	2.986715500833808656e-01
