# Pressure Mass Radius Compactness k2 k3 k4 k9 h2 h3 h4 h9 j2 j3 j4 j9
9.999999999999999799e-13	9.533448946030764759e-02	2.844807707965466648e+02	4.948429236856403480e-04	3.775737908473639128e-04	-4.238629526638452605e-09	-1.404387417353612463e-15	1.146404034049409725e-06	1.000639807061470377e+00	3.327835474457906395e-01	4.988523214668595385e-01	7.739579285467615977e-01	-2.988558404933273556e-07	-7.536628539673751662e-08	-1.414489455675380785e-08	-2.369728750289308445e-10
1.151395399326448084e-12	9.658708157761337898e-02	1.091998953786220738e+02	1.306071812348644093e-03	1.780196298279841096e-04	8.142244883068367016e-07	-1.862363291787096202e-11	3.348664473545530190e-07	9.964256329904001008e-01	3.316370942586288617e-01	4.967730643416990444e-01	7.676825625636113370e-01	-4.479418920296778181e-07	-8.296463502193315208e-08	-1.333110961324824605e-08	-1.836371022524511733e-10
1.325711365590110884e-12	1.010905964624883441e-01	6.372173694390809118e+01	2.342574376782195333e-03	1.867894803553652155e-04	1.788283725823155209e-05	5.273100560285609678e-09	1.823097127777061429e-07	9.933745130689469738e-01	3.302557059983102228e-01	4.941921241035667767e-01	7.597440858178705625e-01	-9.992138754287771170e-07	-1.343199142375840928e-07	-1.864510041805225877e-08	-1.842396821280243840e-10
1.526417967175236442e-12	1.075426199260997029e-01	4.419756305310208688e+01	3.592961167591980209e-03	2.923468150615104945e-04	7.701196280093752604e-05	1.119238972699367879e-07	1.362351813312610564e-07	9.898612641362771747e-01	3.286073309672246090e-01	4.911019108093705454e-01	7.502641994127071667e-01	-2.627004808277294952e-06	-2.481856112775439124e-07	-2.992465574753394983e-08	-2.215523950008510587e-10
1.757510624854789421e-12	1.156733055736762494e-01	3.378280854077994633e+01	5.056006570307048156e-03	5.831598895971210972e-04	8.033343350818078715e-05	-3.058130294743398131e-07	1.218974168229359152e-07	9.861120329367459858e-01	3.266954921292861136e-01	4.875085780953700154e-01	7.393023558360181102e-01	-7.018215182100502372e-06	-5.164221423690056708e-07	-5.114089726330116912e-08	-2.969369756741736829e-10
2.023589647725155637e-12	1.254190745049651168e-01	2.750173015365433216e+01	6.734010826137063616e-03	1.218975198493571152e-03	1.264721652494062317e-04	2.265980684201990900e-06	1.204431310072980233e-07	9.824499279178233735e-01	3.245308065272943243e-01	4.834161938195820629e-01	7.269004506555778455e-01	-1.725941736149672390e-05	-1.184234790553871266e-06	-9.469416843056458323e-08	-4.207632208792693911e-10
2.329951810515371990e-12	1.367939229826249103e-01	2.340196489864855423e+01	8.631469015478539578e-03	2.399861225648732433e-03	2.326386154352152861e-04	-4.986153721852718012e-05	1.258801626335608898e-07	9.792862145324120471e-01	3.221320419810937974e-01	4.788286765251751342e-01	7.130931607851443976e-01	-3.805616324114307226e-05	-2.766211930924748384e-06	-1.929797510372695240e-07	-6.099991436284174768e-10
2.682695795279727225e-12	1.498525444096181214e-01	2.057490685395547558e+01	1.075465488914014410e-02	4.331258024419263643e-03	4.406016175988466759e-04	8.051238319616348474e-05	1.363969211661135686e-07	9.770487541928158937e-01	3.195268442814219179e-01	4.737522628765542532e-01	6.979119519962251328e-01	-7.573386176086048071e-05	-6.162844992142607569e-06	-4.167458389203042217e-07	-8.932137295757645305e-10
3.088843596477484937e-12	1.646759374997129599e-01	1.854604315177635598e+01	1.311140140958268717e-02	7.188279638308620045e-03	8.039469531242196760e-04	1.362266005637395876e-04	1.530195252569527655e-07	9.761116974457384465e-01	3.167499691936814799e-01	4.681973605560657004e-01	6.813878111114520797e-01	-1.380486890777744315e-04	-1.274567952080534456e-05	-8.971504203569002951e-07	-1.321391203524978165e-09
3.556480306223121258e-12	1.813642875381782094e-01	1.704592703803826836e+01	1.571091156409721787e-02	1.108681324324754455e-02	1.380423740776020149e-03	2.640209037718838385e-04	1.808922266811379996e-07	9.767377213193578767e-01	3.138392425129259977e-01	4.621792400946469481e-01	6.635538387649361214e-01	-2.338620159060931386e-04	-2.438879024415548723e-05	-1.846474237533481739e-06	-2.000372240099352085e-09
4.094915062380418745e-12	2.000325856319110640e-01	1.591144887497758909e+01	1.856355957037680512e-02	1.606597791843643666e-02	2.222087255035914023e-03	4.505781521320300449e-04	2.326552365021877260e-07	9.790416058769940699e-01	3.108301998340131100e-01	4.557173427337414262e-01	6.444479228021374739e-01	-3.727358293696111978e-04	-4.343548636728395134e-05	-3.571956196754666316e-06	-3.163117333158142521e-09
4.714866363457389669e-12	2.208073349106103866e-01	1.503872237234907061e+01	2.168067448804479949e-02	2.208303598790809993e-02	3.366939674186524532e-03	7.411124054292594346e-04	3.338299940838778051e-07	9.829776781919704609e-01	3.077506218242663794e-01	4.488333638974948414e-01	6.241154699532401873e-01	-5.645011961924581347e-04	-7.259999948616315923e-05	-6.477916739584508747e-06	-5.289654730366940636e-09
5.428675439323858973e-12	2.438236333923488597e-01	1.435876640732625553e+01	2.507430495186418681e-02	2.901888418747436069e-02	4.832026840171187512e-03	1.153265754488111633e-03	5.255945106727458450e-07	9.883479452821544164e-01	3.046159515103682436e-01	4.415484314496970208e-01	6.026120167505637504e-01	-8.188408664667440979e-04	-1.148134667491901740e-04	-1.105299291261944579e-05	-9.270381077063640188e-09
6.250551925273975869e-12	2.692222746481331419e-01	1.382414218353262214e+01	2.875696390820913287e-02	3.669136562898812209e-02	6.609503928685446332e-03	1.681144909035654127e-03	8.663333024330372990e-07	9.948258230332274188e-01	3.014264820370918807e-01	4.338801437751028112e-01	5.800056497640690978e-01	-1.144913615003051097e-03	-1.730305613083985125e-04	-1.784169289367792382e-05	-1.657721925895165401e-08
