# Pressure EnergyDensity PseudoEnthalpy EnergyDensityDeriv
9.999999999999999799e-13	1.403219789498129861e-10	2.862432518694860498e-02	4.702894474203427677e+01
1.151395399326448084e-12	1.471133633196215862e-10	2.966974169855798871e-02	4.285179010778912811e+01
1.325711365590110884e-12	1.542387508597886322e-10	3.081700605258667902e-02	3.904963115331862156e+01
1.526417967175236442e-12	1.617153657680004326e-10	3.207590620691176675e-02	3.558880339354553968e+01
1.757510624854789421e-12	1.695614384338057185e-10	3.345714340538800263e-02	3.243866450502461873e+01
2.023589647725155637e-12	1.777962808508142942e-10	3.497241183284547500e-02	2.957132301744275082e+01
2.329951810515371990e-12	1.864403697513651968e-10	3.663448408292811764e-02	2.696139136129655256e+01
2.682695795279727225e-12	1.955154384553587433e-10	3.845730262461789783e-02	2.458576108521853598e+01
3.088843596477484937e-12	2.050445785665556632e-10	4.045607740233716360e-02	2.242339825271746179e+01
3.556480306223121258e-12	2.150523528122926901e-10	4.264738963745667161e-02	2.045515720676593574e+01
4.094915062380418745e-12	2.255649205094054196e-10	4.504930181295745129e-02	1.866361105329833237e+01
4.714866363457389669e-12	2.366101773538187164e-10	4.768147371460648015e-02	1.703289736271334576e+01
5.428675439323858973e-12	2.482179114779796860e-10	5.056528426783567925e-02	1.554857772321409648e+01
6.250551925273975869e-12	2.604199780038613737e-10	5.372395874573879238e-02	1.419750990246573430e+01
7.196856730011528489e-12	2.732504946452444089e-10	5.718270072636177925e-02	1.296773148568378886e+01
8.286427728546859754e-12	2.867460612877645411e-10	6.096882794284106538e-02	1.184835395987978224e+01
9.540954763499924011e-12	3.009460069061691879e-10	6.511191089421375366e-02	1.082946630648130437e+01
1.098541141987557304e-11	3.158926676738299630e-10	6.964391276466008751e-02	9.902047248731081552e+00
1.264855216855295744e-11	3.316317006895631381e-10	7.459932883207887055e-02	9.057885376900152608e+00
1.456348477501244526e-11	3.482124384024746053e-10	8.001532313207038172e-02	8.289506444099503213e+00
1.676832936811009920e-11	3.656882895697637060e-10	8.593185968124056329e-02	7.590107188964573481e+00
1.930697728883245654e-11	3.841171934501254158e-10	9.239182505735873963e-02	6.953495099275494695e+00
2.222996482526191119e-11	4.036469604207492957e-10	9.944060126226164642e-02	6.411575212472953922e+00
2.559547922699533196e-11	4.243002280617660677e-10	1.071257454068141601e-01	5.882582015782790386e+00
2.947051702551809923e-11	4.461257879335329488e-10	1.154990931262855763e-01	5.400949587081735004e+00
3.393221771895329607e-11	4.692066950832129603e-10	1.246157446004741431e-01	4.962437716177009683e+00
3.906939937054620791e-11	4.936340169673565236e-10	1.345340176629953866e-01	4.563185818951217776e+00
4.498432668969453413e-11	5.195078261116814510e-10	1.453154193311969045e-01	4.199678949434725972e+00
5.179474679231201837e-11	5.469383324081062737e-10	1.570245715806760645e-01	3.868716854817686901e+00
5.963623316594636728e-11	5.760471756751159889e-10	1.697290845017887795e-01	3.567385800967176834e+00
6.866488450042998923e-11	6.069689022053708240e-10	1.834993700234760217e-01	3.293032920406269604e+00
7.906043210907701173e-11	6.398526525901380738e-10	1.984083897150371312e-01	3.043242856918793038e+00
9.102981779915226861e-11	6.748640922143034650e-10	2.145313308380429884e-01	2.815816501162975438e+00
1.048113134154683162e-10	7.121876205399832399e-10	2.319452058731146515e-01	2.608751630085895723e+00
1.206792640639326397e-10	7.520289007348447137e-10	2.507283722343400245e-01	2.420225279691375686e+00
1.389495494373136011e-10	7.946177574611705712e-10	2.709599708350640679e-01	2.248577695974261381e+00
1.599858719606057332e-10	8.404541548901761907e-10	2.927189922441916781e-01	2.193371566451526977e+00
1.842069969326716288e-10	8.917612194832016303e-10	3.160525637422619272e-01	2.048783665363012929e+00
2.120950887920192629e-10	9.469868255578211114e-10	3.410124586021581750e-01	1.916841925801424651e+00
2.442053094548654579e-10	1.006529109442423608e-09	3.676677128048959631e-01	1.796440270424457974e+00
2.811768697974236437e-10	1.070836593137146067e-09	3.960843131761397351e-01	1.686569363267387267e+00
3.237457542817639907e-10	1.140415311128169171e-09	4.263243835663391712e-01	1.586308148405164431e+00
3.727593720314938032e-10	1.215836990755592311e-09	4.584453712742478926e-01	1.494816128672600719e+00
4.291934260128778516e-10	1.297748444349805424e-09	4.924992538231818817e-01	1.411326319714603983e+00
4.941713361323838014e-10	1.386882355239066693e-09	5.285317874180195385e-01	1.335138820299704543e+00
5.689866029018281384e-10	1.484069667231817336e-09	5.665818187549653828e-01	1.265614944996366731e+00
6.551285568595495443e-10	1.590253818838257526e-09	6.066806812090657086e-01	1.202171870025868117e+00
7.543120063354607567e-10	1.706507099946218412e-09	6.488516947318353489e-01	1.144277747407548507e+00
8.685113737513520018e-10	1.834049450631679494e-09	6.931097860733268501e-01	1.091447246437921903e+00
1.000000000000000062e-09	1.974270070098688591e-09	7.394612422992710155e-01	1.043237485127565201e+00
