# Pressure Mass Radius Compactness k2 k3 h2 h3 j2 j3
9.999999999999999799e-13	8.757529830665254644e-02	2.650196607396202708e+01	4.879482521360675208e-03	9.701657221404264963e-04	6.512037152889639296e-05	9.874160232072085597e-01	3.269186865469023151e-01	-9.333393091660764369e-06	-4.544550818542038799e-07
1.047370897959448749e-12	9.105491581389138500e-02	2.480150466368986528e+01	5.421202160033746636e-03	1.362250655911494352e-03	8.679754628239779238e-05	9.866078397742777950e-01	3.262238192188617880e-01	-1.363501868677583318e-05	-6.900851477912362190e-07
1.096985797892381920e-12	9.466993086310453165e-02	2.338032690919229140e+01	5.979043535911576258e-03	1.861620194528748173e-03	1.229902477503203538e-04	9.859736763979154439e-01	3.255161014143030385e-01	-1.933090936059068005e-05	-1.036260553589867058e-06
1.148951000187311009e-12	9.842360966925185750e-02	2.217730368247908501e+01	6.553311022491263224e-03	2.481007690702757926e-03	1.715275293651457797e-04	9.855391049355577415e-01	3.247971875854777091e-01	-2.668726960704513143e-05	-1.530560296073924778e-06
1.203377840777590522e-12	1.023194956647815596e-01	2.114789864670523656e+01	7.144328336964093917e-03	3.232187206109356226e-03	2.355809502599416887e-04	9.853284580936717552e-01	3.240689920304850036e-01	-3.598566475624059515e-05	-2.217852584510787893e-06
1.260382929679727463e-12	1.063613470652446380e-01	2.025890674009887249e+01	7.752433665654536246e-03	4.125533552046529821e-03	3.184405148207833012e-04	9.853630126595452898e-01	3.233335841244830422e-01	-4.752028832410816537e-05	-3.150474175589495303e-06
1.320088400831416649e-12	1.105530978087741478e-01	1.948507117043445191e+01	8.377976832235277740e-03	5.169906589762340680e-03	4.246717857236691793e-04	9.856614236811834795e-01	3.225931703148648411e-01	-6.159530567825508322e-05	-4.388237807056771752e-06
1.382622173764653478e-12	1.148988352900898180e-01	1.880684161581831759e+01	9.021318049110889359e-03	6.372484976592335086e-03	5.597096477759122600e-04	9.862388759592033427e-01	3.218500247965062622e-01	-7.852230029614361501e-05	-5.998307952734673039e-06
1.448118227674535917e-12	1.194027841530029277e-01	1.820885002478258485e+01	9.682826935355532891e-03	7.738796725120716119e-03	7.244183870172871435e-04	9.871074243082722521e-01	3.211064841485554155e-01	-9.861785622880204691e-05	-8.054903110614348982e-06
1.516716888470924089e-12	1.240692939206329143e-01	1.767884976859038559e+01	1.036288170056630029e-02	9.272242784778672586e-03	9.234351209359969049e-04	9.882749079834813877e-01	3.203647129281597117e-01	-1.222013021440105805e-04	-1.063890285886767419e-05
1.588565129428052692e-12	1.289028294950716746e-01	1.720696177352738943e+01	1.106186850552721111e-02	1.097499984302792962e-02	1.160299246488839375e-03	9.897467499115432110e-01	3.196270081847074063e-01	-1.495926122364811713e-04	-1.383727391786170334e-05
1.663816886076127415e-12	1.339079634898696358e-01	1.678512885103533847e+01	1.178018093072927611e-02	1.284712057818054518e-02	1.438191983449172481e-03	9.915241723481111880e-01	3.188953843964515422e-01	-1.811105087370764514e-04	-1.774246993265405316e-05
1.742633386009647278e-12	1.390893688884334012e-01	1.640671428533511289e+01	1.251821932799763309e-02	1.488715649720267174e-02	1.759607759435761077e-03	9.936053906364544774e-01	3.181717250620162418e-01	-2.170707245856794414e-04	-2.245170082414248548e-05
1.825183494319046040e-12	1.444517978626584653e-01	1.606620264655108699e+01	1.327638830291669354e-02	1.709202197863458894e-02	2.127794703278741359e-03	9.959854223784219140e-01	3.174576979187849202e-01	-2.577843312788430591e-04	-2.806613101592249856e-05
1.911644075385703708e-12	1.500000402227975871e-01	1.575897371780622080e+01	1.405509156693499073e-02	1.945724878079333614e-02	2.544332400032724237e-03	9.986564775952989637e-01	3.167547245535864420e-01	-3.035560226714919272e-04	-3.469000820661618790e-05
2.002200371815584363e-12	1.557389027807043191e-01	1.548112751010974542e+01	1.485472984648390261e-02	2.197682413198121312e-02	3.011031273143030280e-03	1.001607693540104371e+00	3.160639571120396063e-01	-3.546825894069920615e-04	-4.242973404092839927e-05
2.097046401323230665e-12	1.616731964579712910e-01	1.522934820888016638e+01	1.567569999535731867e-02	2.464362810687553348e-02	3.529192181219215855e-03	1.004825996110282560e+00	3.153862541003190079e-01	-4.114516025947029926e-04	-5.139293332666716431e-05
2.196385372416542332e-12	1.678077226278332224e-01	1.500079785103116770e+01	1.651839396745589592e-02	2.744942263195012180e-02	4.099468193880158665e-03	1.008296010498559880e+00	3.147221741917730076e-01	-4.741401819525637579e-04	-6.168748185134917969e-05
2.300430119772921506e-12	1.741472587004340711e-01	1.479303239505669687e+01	1.738319769095552497e-02	3.038485188491448288e-02	4.721759750632381625e-03	1.012000108459544023e+00	3.140719428687622217e-01	-5.430138998381958855e-04	-7.342055829637545079e-05
2.409403560239526876e-12	1.806965427968577342e-01	1.460393478442214388e+01	1.827048994272646373e-02	3.343978201105076570e-02	5.396170849756382927e-03	1.015919084687391338e+00	3.134354757904240785e-01	-6.183257711473960205e-04	-8.669768290083806482e-05
2.523539170434765862e-12	1.874602567684049426e-01	1.443166119986462625e+01	1.918064104527161806e-02	3.660337669754935158e-02	6.121691409530922480e-03	1.020032239785764405e+00	3.128123712657873146e-01	-7.003153358241574018e-04	-1.016217836199373529e-04
2.643081486974102692e-12	1.944430356966990736e-01	1.427459701882161092e+01	2.011401506793968064e-02	3.986406616729837316e-02	6.896990785947452497e-03	1.024317342799117680e+00	3.122018972615721588e-01	-7.892081751554013693e-04	-1.182923499121955711e-04
