# Pressure Mass Radius Compactness k2 k3 h2 h3 j2 j3
9.999999999999999799e-13	1.124416285709041174e-01	3.066592846059010569e+01	5.414286637573244992e-03	1.107187996704456310e-03	9.233567518500319265e-05	9.861127248984689064e-01	3.262356078142542581e-01	-1.211283355419720351e-05	-7.076414064026908655e-07
1.047370897959448749e-12	1.152494881851559294e-01	2.920179147104840567e+01	5.827734327086832658e-03	1.374490253971058507e-03	1.115515357304769242e-04	9.854337296828588055e-01	3.257065965778154215e-01	-1.553433442048923987e-05	-9.202294749416725471e-07
1.096985797892381920e-12	1.181205656411890292e-01	2.790805057275213130e+01	6.249801899935156051e-03	1.687104334145562382e-03	1.346727325726666325e-04	9.848232255952202863e-01	3.251702705467535703e-01	-1.965634288038050739e-05	-1.192125915060768976e-06
1.148951000187311009e-12	1.210548939749704206e-01	2.675702006759648555e+01	6.680590357130188409e-03	2.048057314127701978e-03	1.649450172571260672e-04	9.842876892795198174e-01	3.246270972461414717e-01	-2.456331365580005822e-05	-1.535804374997251447e-06
1.203377840777590522e-12	1.240528318369621547e-01	2.572661200373570267e+01	7.120234891484188144e-03	2.460077475492075585e-03	2.008641338246774206e-04	9.838324712073422962e-01	3.240775318505226266e-01	-3.034229979369008833e-05	-1.965223170837794600e-06
1.260382929679727463e-12	1.271151565148487261e-01	2.479897089245776343e+01	7.568919960758803585e-03	2.925618290303711681e-03	2.441823832347052151e-04	9.834625808952396353e-01	3.235220034776437603e-01	-3.708297768547941128e-05	-2.495862031680316236e-06
1.320088400831416649e-12	1.302430096921733949e-01	2.395952848420742143e+01	8.026872995893758952e-03	3.446813691736078100e-03	2.957207531233315692e-04	9.831820377572134673e-01	3.229608994268367561e-01	-4.487755812147284980e-05	-3.144743770895817279e-06
1.382622173764653478e-12	1.334377360458313400e-01	2.319632278900969524e+01	8.494342270307106771e-03	4.025499405349132823e-03	3.562139292172360606e-04	9.829942757056527869e-01	3.223946041087986103e-01	-5.382040230823872782e-05	-3.930420976039295929e-06
1.448118227674535917e-12	1.367008695027644161e-01	2.249944526003600132e+01	8.971595854504434836e-03	4.663180087102655226e-03	4.267448109965267761e-04	9.829022243442666618e-01	3.218234809601180912e-01	-6.400789341695119075e-05	-4.872970065476090872e-06
1.516716888470924089e-12	1.400341307700215809e-01	2.186062118479643246e+01	9.458921830219497659e-03	5.361073440754143306e-03	5.080855640617087162e-04	9.829079894483914170e-01	3.212478797383787610e-01	-7.553837980590907505e-05	-5.993982970816239458e-06
1.588565129428052692e-12	1.434394268964946095e-01	2.127288880361561141e+01	9.956628575658458755e-03	6.120084466727041157e-03	6.018056371955970291e-04	9.830130856584256005e-01	3.206681173166845977e-01	-8.851215992626123501e-05	-7.316556562673187211e-06
1.663816886076127415e-12	1.469188528872709676e-01	2.073035109539634746e+01	1.046504514891426728e-02	6.940846585926702637e-03	7.079732449345494012e-04	9.832185228279199940e-01	3.200844856291025220e-01	-1.030315158116592645e-04	-8.865281889837145011e-06
1.742633386009647278e-12	1.504746981198624711e-01	2.022798127961543457e+01	1.098452224567770912e-02	7.823725460814480448e-03	8.274587025531963827e-04	9.835246443908569614e-01	3.194972358297749060e-01	-1.192008087892696989e-04	-1.066623475767306786e-05
1.825183494319046040e-12	1.541096237968409277e-01	1.976144882600083719e+01	1.151545793558649000e-02	8.768888152565762831e-03	9.620301807482267188e-04	9.839313447346828001e-01	3.189065544124291551e-01	-1.371274912110043165e-04	-1.274707306979969220e-05
1.911644075385703708e-12	1.578267963697211618e-01	1.932699353706981782e+01	1.205831638706449799e-02	9.776346885009981960e-03	1.111621974977017010e-03	9.844379840395368619e-01	3.183125309348661669e-01	-1.569233087222116692e-04	-1.513718062365962882e-05
2.002200371815584363e-12	1.616297098509302255e-01	1.892135978052554890e+01	1.261360087233732996e-02	1.084597392476243857e-02	1.276776248769798464e-03	9.850436352803179085e-01	3.177152026945208041e-01	-1.787040144600989325e-04	-1.786764644174421336e-05
2.097046401323230665e-12	1.655221870414655960e-01	1.854171871412767914e+01	1.318185295399325850e-02	1.197748347768366230e-02	1.459439414355410101e-03	9.857469534676130962e-01	3.171145414372859572e-01	-2.025898134430702616e-04	-2.097132629486363241e-05
2.196385372416542332e-12	1.695083994100015923e-01	1.818560273216535705e+01	1.376365437944405273e-02	1.317048572518650720e-02	1.659119838413535778e-03	9.865462821742237987e-01	3.165104625819518680e-01	-2.287059489248849582e-04	-2.448292747672483656e-05
2.300430119772921506e-12	1.735928896776856023e-01	1.785085169277583006e+01	1.435962920937041039e-02	1.442446996638275386e-02	1.877187014159728291e-03	9.874396966975561574e-01	3.159028089093810499e-01	-2.571833564450512304e-04	-2.843910984506306180e-05
2.409403560239526876e-12	1.777805961139238555e-01	1.753556852809658650e+01	1.497044610972604606e-02	1.573887066537799431e-02	2.113903830656104540e-03	9.884250297497531035e-01	3.152913656409048748e-01	-2.881593820510425664e-04	-3.287860359333605819e-05
2.523539170434765862e-12	1.820768792791301049e-01	1.723808242453516471e+01	1.559682083102479321e-02	1.711305101443212281e-02	2.370144132161332903e-03	9.894999386090630455e-01	3.146758456136186100e-01	-3.217785751497420632e-04	-3.784234552303152683e-05
2.643081486974102692e-12	1.864875808047330163e-01	1.695691624469934666e+01	1.623952324132481653e-02	1.854634041240127082e-02	2.646322490873716238e-03	9.906618810799981967e-01	3.140558873132898721e-01	-3.581938064555651737e-04	-4.337367332866577224e-05
