# Pressure Mass Radius Compactness k2 k3 h2 h3 j2 j3
9.999999999999999799e-13	1.060617473295581842e-01	4.085498804886577773e+01	3.833398114714200392e-03	3.638440718963084543e-04	5.380883616238734670e-05	9.892918295008995555e-01	3.282855874200814594e-01	-3.438870378287783391e-06	-2.467059452015756547e-07
1.047370897959448749e-12	1.086635027449121688e-01	3.784583920861284412e+01	4.239706524373603770e-03	4.665532967243185948e-04	5.877998020834243918e-05	9.882936180949951632e-01	3.277544918425769893e-01	-4.730362812509801017e-06	-3.155971675397614098e-07
1.096985797892381920e-12	1.113743454240343211e-01	3.529108460715762163e+01	4.660048039932228499e-03	5.987687977004519822e-04	6.377118904388054876e-05	9.873153455327572381e-01	3.272070031239940335e-01	-6.427339079633029492e-06	-4.081205894447173346e-07
1.148951000187311009e-12	1.141956768791170945e-01	3.309765611581622125e+01	5.094747428449839140e-03	7.655896199999050449e-04	7.516396353943996566e-05	9.863660622597746341e-01	3.266431676135748141e-01	-8.620054551268554175e-06	-5.322102503151440933e-07
1.203377840777590522e-12	1.171294760353451814e-01	3.119612497702992471e+01	5.544160368325738199e-03	9.723509251937137140e-04	8.910201659104506784e-05	9.854566876898788186e-01	3.260630823272361312e-01	-1.140988296480659840e-05	-6.978024097447796247e-07
1.260382929679727463e-12	1.201781991136245953e-01	2.953367831977177360e+01	6.008670465095911246e-03	1.224544769278429956e-03	1.077265891030842039e-04	9.845966696904711046e-01	3.254669004835812340e-01	-1.490950182961038370e-05	-9.171165733514127465e-07
1.320088400831416649e-12	1.233447086297830286e-01	2.806945249326243186e+01	6.488686874035392259e-03	1.527755541080543867e-03	1.306931782982879758e-04	9.837974796771992159e-01	3.248548406333151561e-01	-1.924301711443025659e-05	-1.204937005753447854e-06
1.382622173764653478e-12	1.266322215210708979e-01	2.677135101446200238e+01	6.984642343165519546e-03	1.887581111798367593e-03	1.606258351022063686e-04	9.830690761180816972e-01	3.242271874849955715e-01	-2.454602450354784711e-05	-1.578889068320972315e-06
1.448118227674535917e-12	1.300442701518246813e-01	2.561382495774553192e+01	7.496991515911518092e-03	2.309557090075504190e-03	1.984266381507953638e-04	9.824223557277385055e-01	3.235842926286386922e-01	-3.096561789243952427e-05	-2.059707091301657173e-06
1.516716888470924089e-12	1.335846787143774583e-01	2.457629130049987154e+01	8.026210382903702437e-03	2.799102374119000029e-03	2.437340173237718738e-04	9.818674180544278984e-01	3.229265749160971088e-01	-3.866035237271916449e-05	-2.671489856288269673e-06
1.588565129428052692e-12	1.372575832420723785e-01	2.364197937168621166e+01	8.572801121965591825e-03	3.361445509787157164e-03	3.004320152586011853e-04	9.814142724733578849e-01	3.222545073916671665e-01	-4.780026379838414103e-05	-3.441948114490092702e-06
1.663816886076127415e-12	1.410674402693061491e-01	2.279709004619461510e+01	9.137294155866696951e-03	4.001591469333625438e-03	3.681237719219333684e-04	9.810724452059758072e-01	3.215686135548250224e-01	-5.856687312077738043e-05	-4.402637818384831382e-06
1.742633386009647278e-12	1.450190207184389457e-01	2.203017119882182584e+01	9.720247674909542751e-03	4.724229200940739670e-03	4.498700931055181419e-04	9.808508044707451301e-01	3.208694499946477263e-01	-7.115314511048695520e-05	-5.589173562999716794e-06
1.825183494319046040e-12	1.491174069198078489e-01	2.133164337440236480e+01	1.032224739017006607e-02	5.533744889023276166e-03	5.464077894930634283e-04	9.807576077826994920e-01	3.201576149958946793e-01	-8.576344279392171250e-05	-7.041421380519497258e-06
1.911644075385703708e-12	1.533679915484240652e-01	2.069343550673234233e+01	1.094390633512841958e-02	6.434130122464513067e-03	6.595509723464007285e-04	9.808003796380785344e-01	3.194337255349337101e-01	-1.026134641515880969e-04	-8.803671043333310194e-06
2.002200371815584363e-12	1.577764774250535462e-01	2.010870210683592418e+01	1.158586463851283936e-02	7.428968861993102968e-03	7.914867067571038951e-04	9.809858651970998489e-01	3.186984131441497614e-01	-1.219301727899970388e-04	-1.092478246135684376e-05
2.097046401323230665e-12	1.623488784235633808e-01	1.957160145775022286e+01	1.224878930263723596e-02	8.521401983424556695e-03	9.439322088715435162e-04	9.813199264321832427e-01	3.179523132689894838e-01	-1.439517143602651330e-04	-1.345830699969937821e-05
2.196385372416542332e-12	1.670915207129490820e-01	1.907712003284998659e+01	1.293337393737071031e-02	9.714089680859227041e-03	1.118605427897836251e-03	9.818074860175762808e-01	3.171960491202586718e-01	-1.689273154445363812e-04	-1.646258012747605216e-05
2.300430119772921506e-12	1.720110440682693642e-01	1.862093232935303178e+01	1.364033841147689607e-02	1.100920091445487838e-02	1.317320643842329574e-03	9.824525295164507899e-01	3.164302277418369891e-01	-1.971171654581340815e-04	-2.000078243646504674e-05
2.409403560239526876e-12	1.771144030407653946e-01	1.819928802677645052e+01	1.437042844098785493e-02	1.240840025764676502e-02	1.541544712951319236e-03	9.832580397083474644e-01	3.156554243557950223e-01	-2.287922733579229818e-04	-2.414096803221659379e-05
2.523539170434765862e-12	1.824088055051614754e-01	1.780892484224240846e+01	1.512440621855601700e-02	1.391276001046348222e-02	1.793458741544972073e-03	9.842259040021497096e-01	3.148721684754980932e-01	-2.642338678109280468e-04	-2.895599873136028800e-05
2.643081486974102692e-12	1.879015984062192834e-01	1.744699866124096133e+01	1.590303379233940287e-02	1.552278511152179949e-02	2.074103815312280680e-03	9.853569362596028558e-01	3.140809670882556137e-01	-3.037321787912071252e-04	-3.452334120911155102e-05
